paper_id,paper_title,authors,journal,year,doi,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,d10,d50,d90,mean_particle_um,specific_surface,bet_surface,blaine,water_absorption,specific_gravity,bulk_density,wb_ratio,thermal_temp_c,thermal_duration,grind_duration,grind_speed,pozzolanic_reactivity,activation_method,processing_method,mineralogy,material_family,reported_optimum_pct,empirical_optimum_pct,n_measurements,aggregate_replacement_suspect,in_scope
30,Utilizing thermal activation treatment to improve the properties of waste cementitious powder and its newmade cementitious materials,"Huixia Wu, Jianguang Xu, Dingyi Yang, Zhiming Ma",Journal of Cleaner Production,2021,https://doi.org/10.1016/j.jclepro.2021.129074,,,,,,,,,13.683333333333335,,,25.0,,,,,,,,,0.5,900.0,2.0,,,,thermal,crushing,,powder,,,30,False,True
31,CO2 mineralization of demolished concrete wastes into a supplementary cementitious material – a new CCU approach for the cement industry,"Maciej Zajac, Jan Skocek, Jørgen Skibsted, Mohsen Ben Haha",RILEM Technical Letters,2021,https://doi.org/10.21809/rilemtechlett.2021.141,,,,,,,,,,,,,,,150.0,,,,,,,,,,,1.0,carbonation,combined,mixed,paste,,40.0,11,False,True
32,Evaluation of waste concrete recycled powder (WCRP) on the preparation of low-exothermic cement,"Xi Chen, Ying Li, Zheyu Zhu, Liyuan Ma",Journal of Building Engineering,2022,https://doi.org/10.1016/j.jobe.2022.104511,27.8,29.1,6.7,2.73,4.49,1.11,,,,,,,,42.6,467.0,,,,,856.0,0.45,,,30.0,,2.0,mechanical,combined,mixed,powder,15.0,,13,False,True
33,Developing circular concrete: Acid treatment of waste concrete fines,"Tiejun Ding, Hong Wong, Xiuchen Qiao, Christopher Cheeseman",Journal of Cleaner Production,2022,https://doi.org/10.1016/j.jclepro.2022.132615,58.79,3.28,18.37,6.07,,,,,10.9,55.1,,,,,,,,,,,,,,,,1.0,,other,,fines,,,0,False,True
34,Role of recycled concrete powder as sand replacement in the properties of cement mortar,"Yuan Jiang, Bo Li, Shu Liu, Jun He, Alvaro Garcia Hernandez",Journal of Cleaner Production,2022,https://doi.org/10.1016/j.jclepro.2022.133424,,,,,,,,,,,,20.0515,,,,,,,2.724,,,,,,,1.0,,combined,,paste,,,0,False,True
35,Closed-loop recycling of C&D waste: Mechanical properties of concrete with the repeatedly recycled C&D powder as partial cement replacement,"Jeonghyun Kim, Haneol Jang",Journal Cleaner Production,2022,https://doi.org/10.1016/j.jclepro.2022.130977,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,combined,,powder,20.0,,18,False,True
36,"Recycled concrete fine powder (RFP) as cement partial replacement: Influences on the physical properties, hydration characteristics, and microstructure of blended cement","Zhong Li, Yadong Bian, Jihui Zhao, Yiren Wang, Zhenxia Yuan",Journal of Building Engineering,2022,https://doi.org/10.1016/j.jobe.2022.105326,60.3,17.4,10.4,3.0,3.4,0.7,2.1,,,,,22.7,,22.7,,,,,,,0.5,,,60.0,,1.0,mechanical,combined,mixed,powder,10.0,,12,False,True
37,Effect of Recycled Mixed Powder on the Mechanical Properties and Microstructure of Concrete,"Chao Liu, Huawei Liu and Jian Wu",Journal of Renewable Materials,2022,10.32604/jrm.2022.018386,46.835,22.25,12.66,5.654999999999999,1.665,0.29,,2.14,,,,17.854999999999997,,27.94,,,440.5,,2.59,,,,,20.0,,1.0,mechanical,combined,,powder,15.0,0.0,20,False,True
38,Economical and eco-friendly masonry mortar containing waste concrete powder as a supplementary cementitious material,"Eric A. Ohemeng, Stephen O. Ekolu, Harry Quainoo, Abdolhossein Naghizadeh",Case Studies in Construction Materials,2022,https://doi.org/10.1016/j.cscm.2022.e01527,34.82,24.48,8.52,6.99,3.19,0.21,1.66,0.81,17.89,,,,,,,,,,2.61,,0.6,,,,,,,combined,,powder,57.5,,7,False,True
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,"Liang Wang, Jialai Wang, Hao Wang, Yi Fang, Wenfeng Shen, Peiyuan Chen, Ying Xu",Construction and Building Materials,2022,10.1016/j.conbuildmat.2022.126491,33.4,44.9,8.4,1.0,5.4,,,1.7,,,,5.0,,,,,,,,,0.5,,,,,1.0,chemical,crushing,,fines,12.5,0.0,4,False,True
