paper_id,mix_id,replacement_pct,age_days,strength_mpa,wb_block,graph_derived,age_known,mix_activation,source,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,d10,d50,d90,mean_particle_um,specific_surface,bet_surface,blaine,water_absorption,specific_gravity,bulk_density,wb_ratio,thermal_temp_c,thermal_duration,grind_duration,grind_speed,pozzolanic_reactivity,activation_method,processing_method,mineralogy,material_family,reported_optimum_pct,empirical_optimum_pct,ctrl_strength_mpa,rel_strength,aggregate_replacement_suspect
5,,75.0,28.0,4.2,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,45.8,0.09170305676855896,False
5,,75.0,90.0,4.6,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,52.0,0.08846153846153845,False
6,RM-0.6-10,10.0,,51.17,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.5-10,10.0,,66.63,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.6-2.5/5,17.79,,52.08,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.5-2.5/5,17.79,,58.32,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.6-20,20.0,,49.32,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.5-20,20.0,,64.58,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.6-0.63/1.25,20.5,,50.06,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.5-0.63/1.25,20.5,,52.54,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.6-0/0.63,29.31,,44.29,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.5-0/0.63,29.31,,45.55,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.6-30,30.0,,47.37,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.5-30,30.0,,57.23,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.6-1.25/2.5,32.08,,50.85,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.5-1.25/2.5,32.08,,52.22,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.6-50,50.0,,46.92,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.5-50,50.0,,53.84,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.6-100,100.0,,39.14,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.6-S,100.0,,41.96,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.5-100,100.0,,42.09,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.55-S,100.0,,43.01,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.6-D,100.0,,43.76,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.5-S,100.0,,45.22,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.55-D,100.0,,45.34,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
6,RM-0.5-D,100.0,,49.84,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,,,True
7,CEM (ref),0.0,,52.1,,False,False,,matrix,,,,,,,,,,,,12.0,,12.0,412.0,,412.0,,,,0.3576,,,,,,mechanical,milling,,powder,10.0,,,,False
7,at 5% RCP,5.0,,57.3,,False,False,,sheet1,,,,,,,,,,,,12.0,,12.0,412.0,,412.0,,,,0.3576,,,,,,mechanical,milling,,powder,10.0,,,,False
7,at 10% RCP,10.0,,50.2,,False,False,,sheet1,,,,,,,,,,,,12.0,,12.0,412.0,,412.0,,,,0.3576,,,,,,mechanical,milling,,powder,10.0,,,,False
7,at 15% RCP,15.0,,51.8,,False,False,,sheet1,,,,,,,,,,,,12.0,,12.0,412.0,,412.0,,,,0.3576,,,,,,mechanical,milling,,powder,10.0,,,,False
7,at 20% RCP,20.0,,56.9,,False,False,,sheet1,,,,,,,,,,,,12.0,,12.0,412.0,,412.0,,,,0.3576,,,,,,mechanical,milling,,powder,10.0,,,,False
7,at 25% RCP,25.0,,50.1,,False,False,,sheet1,,,,,,,,,,,,12.0,,12.0,412.0,,412.0,,,,0.3576,,,,,,mechanical,milling,,powder,10.0,,,,False
8,at 0%,0.0,,76.6,,False,False,,sheet1,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,mechanical,milling,,powder,25.0,,,,False
8,at 10%,10.0,,50.2,,False,False,,sheet1,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,mechanical,milling,,powder,25.0,,,,False
8,at 20%,20.0,,56.9,,False,False,,sheet1,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,mechanical,milling,,powder,25.0,,,,False
8,at 30%,30.0,,45.7,,False,False,,sheet1,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,mechanical,milling,,powder,25.0,,,,False
8,at 40%,40.0,,38.8,,False,False,,sheet1,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,mechanical,milling,,powder,25.0,,,,False
8,at 50%,50.0,,25.4,,False,False,,sheet1,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,mechanical,milling,,powder,25.0,,,,False
9,,0.0,1.0,8.0,,True,True,,sheet1,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,23.833333333333332,0.3356643356643357,False
9,OPC,0.0,1.0,28.0,,True,True,,matrix,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,23.833333333333332,1.1748251748251748,False
9,OPC,0.0,1.0,35.5,,True,True,,matrix,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,23.833333333333332,1.4895104895104896,False
9,,0.0,7.0,28.0,,True,True,,sheet1,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,28.0,1.0,False
9,,0.0,28.0,35.5,,True,True,,sheet1,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,35.5,1.0,False
9,,1.0,1.0,1.0,,True,True,,sheet1,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,23.833333333333332,0.04195804195804196,False
9,,1.0,1.0,4.0,,True,True,,sheet1,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,23.833333333333332,0.16783216783216784,False
9,,1.0,7.0,1.5,,True,True,,sheet1,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,28.0,0.05357142857142857,False
9,,1.0,7.0,4.0,,True,True,,sheet1,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,28.0,0.14285714285714285,False
9,,1.0,7.0,14.0,,True,True,,sheet1,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,28.0,0.5,False
9,,1.0,7.0,27.0,,True,True,,sheet1,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,28.0,0.9642857142857143,False
9,,1.0,28.0,4.5,,True,True,,sheet1,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,35.5,0.1267605633802817,False
9,,1.0,28.0,21.5,,True,True,,sheet1,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,35.5,0.6056338028169014,False
9,,1.0,28.0,35.0,,True,True,,sheet1,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,35.5,0.9859154929577465,False
9,,5.0,1.0,10.0,,True,True,,sheet1,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,23.833333333333332,0.4195804195804196,False
