paper_id,declared_replacement_levels_pct,replacement_min_pct,replacement_max_pct,material_type,source_material,processing_method,processing_parameters,sio2_pct,activation_method,w_b_ratio,fe2o3_pct,al2o3_pct,pozzolanic_reactivity,cao_pct,mgo_pct,k2o_pct,mechanical_activation_method,amorphous_content_pct,activation_parameters,na2o_pct,specific_gravity,loi_pct,xrd_phases,other_reported_oxides,mineral_composition,thermal_treatment_temperature,control_strength_28d_mpa,replacement_pct,age_days,compressive_strength_mpa
P039,"0, 5, 10, 15, 20",0.0,20.0,Rice husk ash (RHA),"KGR Agro Fusions Private Limited, Ludhiana, Punjab (India)",,,90.4,,0.5,1.6,1.7,reactive pozzolanic material,,0.7,,,90.4,,,,,amorphous silica,alkali oxides: 3.2%,,,35.8,10.0,56.0,46.8
P068,"0, 5, 10, 15, 20",0.0,20.0,Rice Husk Ash (RHA),Rice husk,Incineration in ferrocement furnace followed by grinding in Los Angeles machine,"Flame kept for ~1 h, smoldering for ~24 h, settling inside furnace for 24 h",75.24,,0.35,2.24,2.18,,2.42,2.28,1.72,,,,0.86,,12.99,,,,,65.01,10.0,56.0,71.85
P015,"0, 10, 20, 30",0.0,30.0,"Rice husk ash (RHA), ground RHA, non-ground RHA, residual rice husk ash (RHA)",Rice husk / Rice husk pellets,Incineration / burning of rice husk pellets in a boiler followed by ball mill grinding,Burning temperature: 600800,91.0,mechanical,0.35,0.41,0.35,Water requirement of non-ground RHA mortar: 117%; Water requirement of ground RHA mortar: 110%,,0.81,3.21,Ball mill grinding,,Grinding duration: 1 h (60 min),0.08,2.06,8.5,Mostly amorphous silica and partially crystalline silica (Cristobalite high-SiO2),P2O5: 0.98,Cristobalite high-SiO2,700.0,56.0,10.0,91.0,56.0
P015,"0, 10, 20, 30",0.0,30.0,"Rice husk ash (RHA), ground RHA, non-ground RHA, residual rice husk ash (RHA)",Rice husk / Rice husk pellets,Incineration / burning of rice husk pellets in a boiler followed by ball mill grinding,Burning temperature: 600800,91.0,mechanical,0.35,0.41,0.35,Water requirement of non-ground RHA mortar: 117%; Water requirement of ground RHA mortar: 110%,,0.81,3.21,Ball mill grinding,,Grinding duration: 1 h (60 min),0.08,2.06,8.5,Mostly amorphous silica and partially crystalline silica (Cristobalite high-SiO2),P2O5: 0.98,Cristobalite high-SiO2,700.0,56.0,10.0,91.0,67.0
P015,"0, 10, 20, 30",0.0,30.0,"Rice husk ash (RHA), ground RHA, non-ground RHA, residual rice husk ash (RHA)",Rice husk / Rice husk pellets,Incineration / burning of rice husk pellets in a boiler followed by ball mill grinding,Burning temperature: 600800,91.0,mechanical,0.35,0.41,0.35,Water requirement of non-ground RHA mortar: 117%; Water requirement of ground RHA mortar: 110%,,0.81,3.21,Ball mill grinding,,Grinding duration: 1 h (60 min),0.08,2.06,8.5,Mostly amorphous silica and partially crystalline silica (Cristobalite high-SiO2),P2O5: 0.98,Cristobalite high-SiO2,700.0,56.0,10.0,91.0,74.0
P070,"0, 2.5, 5, 7.5, 10",0.0,10.0,Rice Husk Ash (RHA) / RHA,Rice field / Rice husk,Natural combusting process,Uncontrolled burning temperature and time; sieved through No. 50 sieve,,,0.4,,,,,,,,,,,2.24,,,,,,39.33,10.0,91.0,41.62
P050,"0, 5, 7.5, 10, 12.5, 15",0.0,15.0,Rice Husk Ash (RHA),Rice husk / Paddy,Burning of husk in boiler or ferrocement furnace,Temperature around 500800°C for 24 hours; air ducts provided to control temperature and reduce carbon content,85.0,thermal,0.4,,,"Pozzolanic behavior depends upon silica crystallization phase, silica content, size, and surface area of ash",,,,,85.0,"Controlled burning at 500800°C for 24 hours, cooled to ~52°C after 24 hours and ~25°C after 48 hours",,2.3,,,,,650.0,41.7,12.5,7.0,26.2
P057,"0, 5, 7.5, 10, 12.5, 15",0.0,15.0,Rice Husk Ash (RHA),Rice husk,Burning / Incineration,Burning temperature below 1440,91.432222,,,0.402222,1.007778,Active pozzolanic material,0.83,0.4375,2.154444,,,,0.111429,,5.17,,P2O5: ND; 0.48; ND; ND; 0.67; ND; 0.8; 2.43; ND TiO2: ND; 0.17; ND; ND; ND; ND; ND; ND; 0.16,,,41.7,12.5,7.0,26.2
P062,"0, 5, 7.5, 10, 12.5, 15",0.0,15.0,Rice husk ash (RHA),Rice husk,Charring in a ferrocation oven or boilers with air pipes/electrical ventilators,"Burned at about 50°-800°C for 24 h, around 52°C after 24 h, and around 25°C after 48 h",86.94,,0.39,0.1,0.2,high,1.25,0.4,2.225,,,,0.45,2.3,,,,Non crystalline,,42.2,12.5,7.0,26.0
P050,"0, 5, 7.5, 10, 12.5, 15",0.0,15.0,Rice Husk Ash (RHA),Rice husk / Paddy,Burning of husk in boiler or ferrocement furnace,Temperature around 500800°C for 24 hours; air ducts provided to control temperature and reduce carbon content,85.0,thermal,0.4,,,"Pozzolanic behavior depends upon silica crystallization phase, silica content, size, and surface area of ash",,,,,85.0,"Controlled burning at 500800°C for 24 hours, cooled to ~52°C after 24 hours and ~25°C after 48 hours",,2.3,,,,,650.0,41.7,12.5,28.0,39.3
P057,"0, 5, 7.5, 10, 12.5, 15",0.0,15.0,Rice Husk Ash (RHA),Rice husk,Burning / Incineration,Burning temperature below 1440,91.432222,,,0.402222,1.007778,Active pozzolanic material,0.83,0.4375,2.154444,,,,0.111429,,5.17,,P2O5: ND; 0.48; ND; ND; 0.67; ND; 0.8; 2.43; ND TiO2: ND; 0.17; ND; ND; ND; ND; ND; ND; 0.16,,,41.7,12.5,28.0,39.3
P062,"0, 5, 7.5, 10, 12.5, 15",0.0,15.0,Rice husk ash (RHA),Rice husk,Charring in a ferrocation oven or boilers with air pipes/electrical ventilators,"Burned at about 50°-800°C for 24 h, around 52°C after 24 h, and around 25°C after 48 h",86.94,,0.39,0.1,0.2,high,1.25,0.4,2.225,,,,0.45,2.3,,,,Non crystalline,,42.2,12.5,28.0,39.6
P028,"0, 5, 10, 15, 20, 25, 30",0.0,30.0,Rice Husk Ash (RHA),Rice Husk,controlled,,83.6,,,0.64,0.76,,0.84,0.4,,,,,,,14.2,,Particles retained on 45 micron IS sieves (Wet Sieving): 27.13,,,50.0,15.0,3.0,12.0
P028,"0, 5, 10, 15, 20, 25, 30",0.0,30.0,Rice Husk Ash (RHA),Rice Husk,controlled,,83.6,,,0.64,0.76,,0.84,0.4,,,,,,,14.2,,Particles retained on 45 micron IS sieves (Wet Sieving): 27.13,,,50.0,15.0,7.0,23.0
P031,"0, 5, 10, 15, 20, 25",0.0,25.0,Rice Husk Ash (RHA),Rice Husk,"Burnt under guided or enclosed place, ground, and sieved",Sieved through 600 ?m sieve,,mechanical,,,,,,,,Grinding,,,,,,,,,,29.15,15.0,7.0,11.24
P039,"0, 5, 10, 15, 20",0.0,20.0,Rice husk ash (RHA),"KGR Agro Fusions Private Limited, Ludhiana, Punjab (India)",,,90.4,,0.5,1.6,1.7,reactive pozzolanic material,,0.7,,,90.4,,,,,amorphous silica,alkali oxides: 3.2%,,,35.8,15.0,7.0,22.5
