paper_id,segment,cell_preview
13,22.5  [pct not in declared levels],"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
13,23.2  [pct not in declared levels],"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
13,33.88  [pct not in declared levels],"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
13,27.0  [pct not in declared levels],"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
13,26.4  [pct not in declared levels],"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
13,26.0  [pct not in declared levels],"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
13,21.8 (graph-derived values)  [pct not in declared levels],"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
13,32.0  [pct not in declared levels],"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
13,33.8  [pct not in declared levels],"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
13,42.64  [pct not in declared levels],"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
13,37.2  [pct not in declared levels],"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
13,35.1  [pct not in declared levels],"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
13,35.5  [pct not in declared levels],"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
13,31.8 (graph-derived values)  [pct not in declared levels],"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
19,GRAPH-DERIVED,"Preliminary Series (w/b 0.45, 0.55, 0.65 at 7, 28, 90, 365 d):
GRAPH-DERIVED

Main Program (28-day, 100 L batches, w/b 0"
21,14-d,"Concrete without SP (3-d, 7-d, 14-d, 28-d):
0% RHA: 13.40, 16.08, 21.34 MPa (7-d, 14-d, 28-d);
25% RHA: 5.97, 8.31, 10.8"
21,28-d),"Concrete without SP (3-d, 7-d, 14-d, 28-d):
0% RHA: 13.40, 16.08, 21.34 MPa (7-d, 14-d, 28-d);
25% RHA: 5.97, 8.31, 10.8"
23,7.42 (7d,"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,w/c=0.45),"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,20.11 (14d,"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,w/c=0.45),"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,23 (21d,"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,w/c=0.45),"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,24.5 (28d,"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,w/c=0.45),"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,7.26 (7d,"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,w/c=0.5),"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,19.778 (14d,"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,w/c=0.5),"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,22.5 (21d,"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,w/c=0.5),"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,23.8 (28d,"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,w/c=0.5),"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,7.18 (7d,"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,w/c=0.6),"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,10 (14d,"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,w/c=0.6),"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,14.05 (21d,"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,w/c=0.6),"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,18.65 (28d,"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
23,w/c=0.6),"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w"
26,31.4 to 61.7,"3-day: 31.4 to 61.7
7-day: 39.6 to 72.0
28-day: 45.5 to 87.0
60-day: 51.8 to 92.0"
26,39.6 to 72.0,"3-day: 31.4 to 61.7
7-day: 39.6 to 72.0
28-day: 45.5 to 87.0
60-day: 51.8 to 92.0"
26,45.5 to 87.0,"3-day: 31.4 to 61.7
7-day: 39.6 to 72.0
28-day: 45.5 to 87.0
60-day: 51.8 to 92.0"
26,51.8 to 92.0,"3-day: 31.4 to 61.7
7-day: 39.6 to 72.0
28-day: 45.5 to 87.0
60-day: 51.8 to 92.0"
29,M0 = 27.2,"7 days: M0 = 27.2, M1 = 27.8, M2 = 28.3, M3 = 27.4;
28 days: M0 = 37, M1 = 42.8, M2 = 39.8, M3 = 37"
29,M1 = 27.8,"7 days: M0 = 27.2, M1 = 27.8, M2 = 28.3, M3 = 27.4;
28 days: M0 = 37, M1 = 42.8, M2 = 39.8, M3 = 37"
29,M2 = 28.3,"7 days: M0 = 27.2, M1 = 27.8, M2 = 28.3, M3 = 27.4;
28 days: M0 = 37, M1 = 42.8, M2 = 39.8, M3 = 37"
29,M3 = 27.4,"7 days: M0 = 27.2, M1 = 27.8, M2 = 28.3, M3 = 27.4;
28 days: M0 = 37, M1 = 42.8, M2 = 39.8, M3 = 37"
29,M0 = 37,"7 days: M0 = 27.2, M1 = 27.8, M2 = 28.3, M3 = 27.4;
28 days: M0 = 37, M1 = 42.8, M2 = 39.8, M3 = 37"
29,M1 = 42.8,"7 days: M0 = 27.2, M1 = 27.8, M2 = 28.3, M3 = 27.4;
28 days: M0 = 37, M1 = 42.8, M2 = 39.8, M3 = 37"
29,M2 = 39.8,"7 days: M0 = 27.2, M1 = 27.8, M2 = 28.3, M3 = 27.4;
28 days: M0 = 37, M1 = 42.8, M2 = 39.8, M3 = 37"
29,M3 = 37,"7 days: M0 = 27.2, M1 = 27.8, M2 = 28.3, M3 = 27.4;
28 days: M0 = 37, M1 = 42.8, M2 = 39.8, M3 = 37"
31,15.2-31.3 (7 days),"15.2-31.3 (7 days), 18.1-37.5 (28 days), 17-26 (7 days)"
31,18.1-37.5 (28 days),"15.2-31.3 (7 days), 18.1-37.5 (28 days), 17-26 (7 days)"
31,17-26 (7 days),"15.2-31.3 (7 days), 18.1-37.5 (28 days), 17-26 (7 days)"
34,28.5,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 2: 28.1,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 3: 27.5,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 4: 26.2,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 5: 26.5,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 6: 25.8,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 7: 23.5,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 8: 24.1,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 9: 23.2,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 10: 21.0,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 11: 20.8,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 12: 20.2,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 13: 26.8,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 14: 26.5,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 15: 26.3,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 16: 28.1,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 17: 28.5,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 18: 27.9,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 19: 20.5,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 20: 20.2,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 21: 19.8,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 22: 25.2,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 23: 25.5,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 24: 24.8,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 25: 29.8,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 26: 29.4,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
34,Mix 27: 29.2,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix"
40,OPC ~7598 MPa,"Values up to >100 MPa (GRAPH-DERIVED from Fig. 6: OPC ~7598 MPa, RHA10 ~80110 MPa, RHA15 ~82108 MPa, RHA20 ~80105 MP"
40,RHA10 ~80110 MPa,"Values up to >100 MPa (GRAPH-DERIVED from Fig. 6: OPC ~7598 MPa, RHA10 ~80110 MPa, RHA15 ~82108 MPa, RHA20 ~80105 MP"
40,RHA15 ~82108 MPa,"Values up to >100 MPa (GRAPH-DERIVED from Fig. 6: OPC ~7598 MPa, RHA10 ~80110 MPa, RHA15 ~82108 MPa, RHA20 ~80105 MP"
41,4.95  11.46 (Optimum: 11.32),"2-day: 4.95  11.46 (Optimum: 11.32)
7-day: 10.16  17.45 (Optimum: 16.36)
28-day: 15.89  26.82 (Optimum: 43.57)
56-day"
41,10.16  17.45 (Optimum: 16.36),"2-day: 4.95  11.46 (Optimum: 11.32)
7-day: 10.16  17.45 (Optimum: 16.36)
28-day: 15.89  26.82 (Optimum: 43.57)
56-day"
41,15.89  26.82 (Optimum: 43.57),"2-day: 4.95  11.46 (Optimum: 11.32)
7-day: 10.16  17.45 (Optimum: 16.36)
28-day: 15.89  26.82 (Optimum: 43.57)
56-day"
41,17.97  33.27 (Optimum: 39.91),"2-day: 4.95  11.46 (Optimum: 11.32)
7-day: 10.16  17.45 (Optimum: 16.36)
28-day: 15.89  26.82 (Optimum: 43.57)
56-day"
41,22.65  37.50 (Optimum: 50.11),"2-day: 4.95  11.46 (Optimum: 11.32)
7-day: 10.16  17.45 (Optimum: 16.36)
28-day: 15.89  26.82 (Optimum: 43.57)
56-day"
43,36.1 (Control),36.1 (Control); 20.1 (10% 600-RHA); 16.2 (20% 600-RHA); 22.8 (10% 150-RHA); 16.8 (20% 150-RHA); 37.7 (10% 44-RHA); 36.6 
43,20.1 (10% 600-RHA),36.1 (Control); 20.1 (10% 600-RHA); 16.2 (20% 600-RHA); 22.8 (10% 150-RHA); 16.8 (20% 150-RHA); 37.7 (10% 44-RHA); 36.6 
43,16.2 (20% 600-RHA),36.1 (Control); 20.1 (10% 600-RHA); 16.2 (20% 600-RHA); 22.8 (10% 150-RHA); 16.8 (20% 150-RHA); 37.7 (10% 44-RHA); 36.6 
43,22.8 (10% 150-RHA),36.1 (Control); 20.1 (10% 600-RHA); 16.2 (20% 600-RHA); 22.8 (10% 150-RHA); 16.8 (20% 150-RHA); 37.7 (10% 44-RHA); 36.6 
43,16.8 (20% 150-RHA),36.1 (Control); 20.1 (10% 600-RHA); 16.2 (20% 600-RHA); 22.8 (10% 150-RHA); 16.8 (20% 150-RHA); 37.7 (10% 44-RHA); 36.6 
43,37.7 (10% 44-RHA),36.1 (Control); 20.1 (10% 600-RHA); 16.2 (20% 600-RHA); 22.8 (10% 150-RHA); 16.8 (20% 150-RHA); 37.7 (10% 44-RHA); 36.6 
43,36.6 (20% 44-RHA),36.1 (Control); 20.1 (10% 600-RHA); 16.2 (20% 600-RHA); 22.8 (10% 150-RHA); 16.8 (20% 150-RHA); 37.7 (10% 44-RHA); 36.6 
44,20.1 (10% RHA-1),20.1 (10% RHA-1); 16.2 (20% RHA-1); 22.8 (10% RHA-2); 16.8 (20% RHA-2); 37.7 (10% RHA-3); 36.6 (20% RHA-3); 36.1 (Contro
44,16.2 (20% RHA-1),20.1 (10% RHA-1); 16.2 (20% RHA-1); 22.8 (10% RHA-2); 16.8 (20% RHA-2); 37.7 (10% RHA-3); 36.6 (20% RHA-3); 36.1 (Contro
44,22.8 (10% RHA-2),20.1 (10% RHA-1); 16.2 (20% RHA-1); 22.8 (10% RHA-2); 16.8 (20% RHA-2); 37.7 (10% RHA-3); 36.6 (20% RHA-3); 36.1 (Contro
44,16.8 (20% RHA-2),20.1 (10% RHA-1); 16.2 (20% RHA-1); 22.8 (10% RHA-2); 16.8 (20% RHA-2); 37.7 (10% RHA-3); 36.6 (20% RHA-3); 36.1 (Contro
44,37.7 (10% RHA-3),20.1 (10% RHA-1); 16.2 (20% RHA-1); 22.8 (10% RHA-2); 16.8 (20% RHA-2); 37.7 (10% RHA-3); 36.6 (20% RHA-3); 36.1 (Contro
44,36.6 (20% RHA-3),20.1 (10% RHA-1); 16.2 (20% RHA-1); 22.8 (10% RHA-2); 16.8 (20% RHA-2); 37.7 (10% RHA-3); 36.6 (20% RHA-3); 36.1 (Contro
44,36.1 (Control),20.1 (10% RHA-1); 16.2 (20% RHA-1); 22.8 (10% RHA-2); 16.8 (20% RHA-2); 37.7 (10% RHA-3); 36.6 (20% RHA-3); 36.1 (Contro
45,24.54 (7d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,27.35 (14d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,33.25 (28d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,41.68 (56d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,21 (7d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,25.5 (14d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,30.2 (28d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,35.86 (56d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,20.4 (7d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,23.86 (14d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,29.10 (28d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,33.5 (56d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,16.89 (7d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,22.085 (14d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,28.23 (28d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,34.16 (56d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,14.69 (7d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,19.66 (14d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,22.44 (28d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,26.68 (56d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,13.95 (7d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,16.81 (14d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,19.53 (28d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
45,23.04 (56d),"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28"
46,23.2,"23.2, 27.4, 35 (W4A10); 20.9, 25.7, 30.9 (W5A10); 18.9, 22.4, 28.8 (W6A10); 21, 26, 31 (W4A15); 17.5, 23, 28.6 (W5A15); "
46,27.4,"23.2, 27.4, 35 (W4A10); 20.9, 25.7, 30.9 (W5A10); 18.9, 22.4, 28.8 (W6A10); 21, 26, 31 (W4A15); 17.5, 23, 28.6 (W5A15); "
46,35 (W4A10),"23.2, 27.4, 35 (W4A10); 20.9, 25.7, 30.9 (W5A10); 18.9, 22.4, 28.8 (W6A10); 21, 26, 31 (W4A15); 17.5, 23, 28.6 (W5A15); "
46,20.9,"23.2, 27.4, 35 (W4A10); 20.9, 25.7, 30.9 (W5A10); 18.9, 22.4, 28.8 (W6A10); 21, 26, 31 (W4A15); 17.5, 23, 28.6 (W5A15); "
46,25.7,"23.2, 27.4, 35 (W4A10); 20.9, 25.7, 30.9 (W5A10); 18.9, 22.4, 28.8 (W6A10); 21, 26, 31 (W4A15); 17.5, 23, 28.6 (W5A15); "
46,30.9 (W5A10),"23.2, 27.4, 35 (W4A10); 20.9, 25.7, 30.9 (W5A10); 18.9, 22.4, 28.8 (W6A10); 21, 26, 31 (W4A15); 17.5, 23, 28.6 (W5A15); "
46,18.9,"23.2, 27.4, 35 (W4A10); 20.9, 25.7, 30.9 (W5A10); 18.9, 22.4, 28.8 (W6A10); 21, 26, 31 (W4A15); 17.5, 23, 28.6 (W5A15); "
