paper_id,segment,cell_preview
9,7d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,42.7 (M3,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,28d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,37.9 (M3,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,90d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,21.5 (M4,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,7d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,36.7 (M4,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,28d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,41.3 (M4,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,90d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,27.4 (U1,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,7d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,39.9 (U1,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,28d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,45.8 (U1,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,90d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,28.3 (U2,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,7d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,43.8 (U2,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,28d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,51.2 (U2,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,90d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,25.9 (U3,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,7d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,39.1 (U3,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,28d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,44.4 (U3,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,90d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,24.6 (U4,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,7d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,38.3 (U4,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,28d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,42.8 (U4,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,90d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
11,17.2 to 20.3,"1-Day: 17.2 to 20.3; 3-Day: 24.5 to 29.6; 7-Day: 29.8 to 36.7; 28-Day: 40.2 to 51.8 (Control Mix: 1-Day: 19.1, 3-Day: 26"
11,24.5 to 29.6,"1-Day: 17.2 to 20.3; 3-Day: 24.5 to 29.6; 7-Day: 29.8 to 36.7; 28-Day: 40.2 to 51.8 (Control Mix: 1-Day: 19.1, 3-Day: 26"
11,29.8 to 36.7,"1-Day: 17.2 to 20.3; 3-Day: 24.5 to 29.6; 7-Day: 29.8 to 36.7; 28-Day: 40.2 to 51.8 (Control Mix: 1-Day: 19.1, 3-Day: 26"
11,3-Day: 26.7,"1-Day: 17.2 to 20.3; 3-Day: 24.5 to 29.6; 7-Day: 29.8 to 36.7; 28-Day: 40.2 to 51.8 (Control Mix: 1-Day: 19.1, 3-Day: 26"
11,7-Day: 30.2,"1-Day: 17.2 to 20.3; 3-Day: 24.5 to 29.6; 7-Day: 29.8 to 36.7; 28-Day: 40.2 to 51.8 (Control Mix: 1-Day: 19.1, 3-Day: 26"
11,28-Day: 39.6),"1-Day: 17.2 to 20.3; 3-Day: 24.5 to 29.6; 7-Day: 29.8 to 36.7; 28-Day: 40.2 to 51.8 (Control Mix: 1-Day: 19.1, 3-Day: 26"
13,19.8433.88,"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
13,28.7742.64,"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; R"
