paper_id,mix_id,replacement_pct,age_days,strength_mpa,wb_block,graph_derived,age_known,mix_activation,source,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,d10,d50,d90,mean_particle_um,specific_surface,bet_surface,blaine,water_absorption,specific_gravity,bulk_density,wb_ratio,thermal_temp_c,thermal_duration,grind_duration,grind_speed,pozzolanic_reactivity,activation_method,processing_method,mineralogy,material_family,reported_optimum_pct,empirical_optimum_pct
68,,12.5,3.0,15.08,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
68,,12.5,3.0,17.54,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
68,,12.5,3.0,28.55,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
68,,12.5,3.0,33.2,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
68,,15.0,3.0,7.31,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
68,,15.0,3.0,12.6,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
68,,15.0,3.0,14.96,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
68,,15.0,3.0,17.4,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
68,,15.0,3.0,25.8,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
68,,15.0,3.0,30.0,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
68,,20.0,3.0,6.72,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
68,,20.0,3.0,12.0,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
68,,20.0,3.0,13.75,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
68,,20.0,3.0,16.0,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
68,,20.0,3.0,24.6,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
68,,20.0,3.0,28.0,,False,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
69,Ref,0.0,,53.8,,False,False,,matrix,17.44,22.82166666666667,5.178333333333334,5.191666666666667,1.581666666666667,1.6633333333333333,,2.4250000000000003,,,,,,,,,,,,2198.3333333333335,0.5,500.0,2.0,,,2.0,thermal,combined,,powder,25.0,
