paper_id,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,d10,d50,d90,mean_particle_um,specific_surface,bet_surface,blaine,water_absorption,specific_gravity,bulk_density,wb_ratio,thermal_temp_c,thermal_duration,grind_duration,grind_speed,pozzolanic_reactivity,activation_method,processing_method,mineralogy,material_family,reported_optimum_pct,empirical_optimum_pct
61,37.10666666666666,25.19,5.183333333333334,1.8466666666666667,2.046666666666667,1.46,0.33666666666666667,0.7133333333333334,25.189999999999998,,2.0316666666666667,20.574999999999996,91.23333333333333,,,17281.81818181818,,,,,0.55,1400.0,,,,1.0,carbonation,milling,other,paste,,
62,,1.4433333333333334,0.25,,,,,,,,,,,,,,,13.64,,,0.55,70.0,3.625,,,2.0,carbonation,,mixed,fines,20.0,0.0
63,62.36,8.36,12.03,4.19,0.93,0.15,1.44,3.34,6.01,,1.11,6.58,44.23,,660.0,,660.0,,2.58,,0.5,,,,,2.0,mechanical,combined,mixed,powder,,0.0
64,51.57333333333333,9.8,9.816666666666668,3.155,1.6883333333333332,0.365,0.49666666666666665,1.445,4.641666666666667,,60.33083333333334,326.8831578947369,90.73083333333334,,,12185.454545454546,,,2.602,,0.5,750.0,2.0,3.3333333333333335,30.0,1.0,multiple,crushing,,cdw,,
65,39.79,33.485,10.935,,2.015,1.25,1.565,2.725,0.31,0.29000000000000004,1.1949999999999998,4.025,10.51,6.205,,,,,,,,,,,,,other,combined,calcite,fines,,
66,,,,,,,,,,,,,,,,,,7.8500000000000005,,2526.5,,,,,,,carbonation,crushing,calcite,other,,
67,48.75,26.15,8.0,4.35,,,,,6.0,,,53.35,,17.8,626.2733333333333,,6664.5,,2.470666666666667,,0.4,715.625,,58.75,,1.0,multiple,combined,mixed,fines,27.5,
68,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,
69,17.44,22.82166666666667,5.178333333333334,5.191666666666667,1.581666666666667,1.6633333333333333,,2.4250000000000003,,,,,,,,,,,,2198.3333333333335,0.5,500.0,2.0,,,2.0,thermal,combined,,powder,25.0,
70,33.699999999999996,32.02,8.026666666666666,4.416666666666667,1.62,1.64,0.98,1.0333333333333334,14.719999999999999,,,39.233333333333334,,,,11813.333333333334,,,2.48,,0.5,,,,,2.0,none,crushing,,fines,10.0,0.0
71,,,,,,,,,,,,,,102.0,,,,,2.56,,0.47500000000000003,105.0,8.0,,,,thermal,combined,other,powder,12.0,12.0
72,,,,,,,,,,17.5,,,,,,,,,,,,140.0,,,,2.0,carbonation,combined,mixed,paste,15.0,
73,5.98,87.11,1.93,0.81,1.7,1.2,0.71,0.57,,,,,,28.56,,,,,,,0.23,,,,,2.0,chemical,combined,mixed,other,,25.0
74,72.57,11.68,4.98,2.05,0.8,0.84,,0.92,5.86,,,69.17357142857144,,,,,,,,,0.55,195.0,8.0,166.0,179.0,1.0,multiple,crushing,mixed,fines,,
75,18.12,41.06,5.78,2.16,1.78,2.28,,0.86,11.383333333333335,,,,,23.08,,,,,,,0.45,,,10.0,,2.0,mechanical,combined,other,powder,20.0,0.0
76,52.46,11.436,12.998,3.077,1.735,0.723,2.817,3.722,10.1,,,,,,13501.42857142857,,,,,,,,,37.5,48.0,,mechanical,combined,mixed,powder,,0.0
77,,,,,,,,,,,,28.975,60.27,,485.0,,,,,,0.75,,,,,,chemical,crushing,,powder,11.0,5.0
78,,,,,,,,,,,,30.065,,,,,,,,,0.2,,,,,,carbonation,combined,,fines,30.0,40.0
79,18.4,67.6,5.12,3.53,1.08,2.76,,0.66,32.35,,,6.0600000000000005,,1.0,,,,,,,0.4,,,31.0,500.0,2.0,multiple,milling,mixed,fines,10.0,10.0
80,26.68,38.93,9.19,9.19,2.76,1.95,0.48,1.21,14.4,,,24.0,,,,13550.0,,,2.44,,0.4,,,,,1.0,,combined,mixed,cdw,25.0,0.0
81,15.35,32.4,5.9,1.57,2.4,1.94,,,28.44,,,,,23.1,,,,,,,,,,1.0,,1.0,mechanical,combined,,powder,21.5,0.0
82,18.834999999999997,23.66,3.0100000000000002,1.66,1.1099999999999999,,0.7450000000000001,0.8533333333333334,,35.0,1.6,24.0,159.0,,,,,7.7,2.4533333333333336,2453.3333333333335,0.4475,,,5.0,,,mechanical,combined,mixed,fines,10.0,0.0
83,32.7,17.72,9.81,7.65,4.37,3.27,1.8,1.52,18.1,,,,,,,,,,2.7024999999999997,,0.5,,,,,2.0,other,combined,mixed,powder,30.0,
84,48.82,25.5,9.43,7.87,0.42,1.16,,6.48,,43.065999999999995,35.05571428571429,39.98571428571428,67.05714285714286,,686.4000000000001,,,,,,0.75,,,80.0,,2.0,multiple,combined,mixed,powder,,0.0
85,53.03,15.78,7.605,2.755,1.96,0.835,,2.295,14.245000000000001,,,12.35,,,,,,,,2630.0,0.528,,,,,1.0,,,calcite,other,10.0,0.0
86,44.815,37.955,8.725,4.445,,1.76,,1.44,,,,,,,,,,,2.46,,0.6,825.0,,,,,thermal,milling,,powder,,0.0
87,25.75,52.18,2.38,1.86,2.51,2.16,0.46,0.62,11.65,,,,,,739.1111111111111,,,,,,0.5,600.0,2.5,,,1.0,thermal,combined,portlandite,cdw,20.0,10.0
88,,,,,,,,,,,,75.0,,,,,,,,,,609.0909090909091,,41.541666666666664,,1.0,multiple,combined,mixed,fines,25.0,10.0
89,61.182,8.234,15.207,7.176,2.574,0.172,1.457,3.088,,,2.504,29.881,81.52,,,,,,,,0.3,,,,,,,crushing,,powder,,
90,,,,,,,,,,,,,,,,,,,,,0.4,,,,,2.0,chemical,combined,mixed,fines,40.0,30.0
91,10.049999999999999,26.038333333333338,6.801666666666667,3.85,,2.033333333333333,,2.17,5.223333333333334,,3.073333333333333,17.383333333333336,50.89166666666667,,,,,,2.61,,0.4,,,31.2,,1.0,mechanical,combined,,powder,6.5,0.0
92,38.32,24.096666666666668,7.8066666666666675,5.153333333333333,1.37,1.5433333333333337,0.3733333333333333,1.8999999999999997,18.333333333333332,,,,,,,,,,2.5385000000000004,,0.5,500.0,2.0,,,,thermal,combined,,cdw,,
93,60.53,17.51,12.15,2.72,1.17,1.37,0.73,3.03,,,,10.1,,,,,,,,,0.53,,,,,1.0,,combined,mixed,powder,45.0,
94,44.89,26.23,13.28,4.48,5.27,1.07,1.71,1.8,,33.919999999999995,1.7366666666666666,9.21,27.776666666666667,,,,,1.0,,,0.5,700.0,2.0,,,1.0,multiple,milling,mixed,fines,45.0,13.9
95,19.46,56.58,3.92,3.15,2.78,2.54,,,9.6,,,11.6,,,,,,,,,0.5,650.0,2.0,,,,thermal,combined,,powder,10.0,10.0
96,57.5,23.55,8.55,3.75,0.55,0.4,0.0,1.9,,,1.9000000000000001,28.9,151.0,,1086.7,,,,,2860.0,0.535,600.0,4.0,42.4,,1.0,multiple,combined,,cdw,15.0,0.0
97,41.74090909090909,45.47142857142857,,,,,,,,,198.0714285714286,203.50357142857143,220.31785714285712,,,22351.875,,,,2629.090909090909,0.4225,366.6666666666667,6.0,,,2.0,thermal,combined,other,fines,,
98,,,,,,,,,,,,,,,,,,,,,0.4,600.0,2.0,,,,thermal,crushing,mixed,fines,10.0,5.0
99,42.96,43.28,5.21,3.06,1.91,2.13,,0.5,,,,,,,,,,,,,0.4,1000.0,3.0,15.0,650.0,,multiple,combined,mixed,paste,,
100,53.0,20.0,12.5,4.5,,,,,,,,,,112.5,1200.0,,,,,,,750.0,,62.5,,1.0,multiple,milling,mixed,powder,17.5,
101,22.33,60.16,5.75,5.06,2.08,,,,4.44,,,,,0.21280000000000002,25836.666666666668,25836.666666666668,,,,,0.4,,,4.0,,2.0,carbonation,combined,mixed,paste,,23.39
102,26.13,52.8,1.27,1.54,,,0.131,0.288,17.5,,13.134444444444446,30.911111111111115,108.96666666666667,,,,,,,,0.45,,,25.0,500.0,1.0,multiple,crushing,,fines,,0.0
103,45.38,19.85,12.43,9.87,2.32,0.95,0.08,4.12,4.15,,,17.0,,17.0,,,,,,,0.4,1000.0,2.0,24.0,70.0,2.0,multiple,combined,quartz,powder,20.0,0.0
