paper_id,mix_id,replacement_pct,age_days,strength_mpa,wb_block,graph_derived,age_known,mix_activation,source
23,RA30,30.0,3.0,38.5,,True,True,None (coarse raw material),matrix
23,WA30,30.0,3.0,50.5,,True,True,Mechanical activation via wet-milling,matrix
23,RA30,30.0,7.0,46.0,,True,True,None (coarse raw material),matrix
23,WA30,30.0,7.0,54.5,,True,True,Mechanical activation via wet-milling,matrix
23,RA30,30.0,28.0,52.0,,True,True,None (coarse raw material),matrix
23,WA30,30.0,28.0,64.5,,True,True,Mechanical activation via wet-milling,matrix
24,,0.0,3.0,27.0,,True,True,,sheet1
24,,0.0,7.0,43.2,,True,True,,sheet1
24,,0.0,28.0,49.3,,False,True,,sheet1
24,J0 / S0,0.0,,8.5,,False,False,,matrix
24,J0 / S0,0.0,,49.3,,False,False,,matrix
24,J1 / S1,10.0,,8.2,,False,False,,matrix
24,J1 / S1,10.0,,43.6,,False,False,,matrix
24,,20.0,3.0,20.0,,True,True,,sheet1
24,J2 / S2,20.0,,7.5,,False,False,,matrix
24,J2 / S2,20.0,,42.6,,False,False,,matrix
24,J3 / S3,30.0,,7.0,,False,False,,matrix
24,F21 / FS21,30.0,,7.1,,False,False,,matrix
24,F22 / FS22,30.0,,7.2,,False,False,,matrix
24,F11 / FS11,30.0,,8.5,,False,False,,matrix
24,F12 / FS12,30.0,,9.0,,False,False,,matrix
24,J3 / S3,30.0,,33.7,,False,False,,matrix
24,F21 / FS21,30.0,,33.8,,False,False,,matrix
24,F11 / FS11,30.0,,36.2,,False,False,,matrix
24,F22 / FS22,30.0,,40.2,,False,False,,matrix
24,F12 / FS12,30.0,,50.6,,False,False,,matrix
24,J4 / S4,40.0,,6.5,,False,False,,matrix
24,J4 / S4,40.0,,27.8,,False,False,,matrix
26,,0.0,28.0,42.5,,True,True,,sheet1
26,,0.0,90.0,50.5,,True,True,,sheet1
26,RCP-III,30.0,28.0,28.5,,True,True,,matrix
26,,30.0,28.0,30.0,,True,True,,sheet1
26,RCP-I,30.0,28.0,31.0,,True,True,,matrix
26,RCP-S,30.0,28.0,32.0,,True,True,,matrix
26,RCP-III,30.0,90.0,36.5,,True,True,,matrix
26,RCP-II,30.0,90.0,37.0,,True,True,,matrix
26,RCP-I,30.0,90.0,38.0,,True,True,,matrix
26,RCP-S,30.0,90.0,39.0,,True,True,,matrix
27,,0.0,3.0,56.42,,False,True,,sheet1
27,,0.0,7.0,70.92,,False,True,,sheet1
27,,0.0,28.0,104.83,,False,True,,sheet1
27,,20.0,3.0,17.1,,True,True,,sheet1
27,,20.0,3.0,23.25,,False,True,,sheet1
27,,20.0,7.0,33.76,,True,True,,sheet1
27,,20.0,7.0,40.01,,False,True,,sheet1
27,,20.0,28.0,54.52,,True,True,,sheet1
27,,20.0,28.0,73.46,,False,True,,sheet1
28,Bendimerad [111],0.0,,31.4,,False,False,,matrix
28,Kim [102],0.0,,31.5,,False,False,,matrix
28,"Evangelista [114, 115]",0.0,,33.6,,False,False,Slurry Coating,matrix
28,Khoshkenari [103] (AW),0.0,,38.0,,False,False,,matrix
28,Yildirim [108],0.0,,38.28,,False,False,Pre-carbonation,matrix
28,Pereira [35] (Plain),0.0,,40.0,,False,False,,matrix
28,Kumar [113],0.0,,40.72,,False,False,,matrix
28,"Sarhat [33, 34]",0.0,,42.0,,False,False,,matrix
28,Zega [30],0.0,,43.6,,False,False,,matrix
28,Kou [34] (w/c=0.53),0.0,,44.5,,False,False,,matrix
28,Yaprak [100],0.0,,45.0,,False,False,,matrix
28,Khatib [28],0.0,,46.7,,False,False,,matrix
28,Bogas [110] (NC),0.0,,50.2,,False,False,,matrix
28,"Cartuxo [104, 105] (Plain)",0.0,,51.17,,False,False,,matrix
28,Dapena [19],0.0,,52.0,,False,False,,matrix
28,Pereira [35] (+SP1),0.0,,53.7,,False,False,Superplasticizer,matrix
28,Levy [98],0.0,,56.1,,False,False,,matrix
28,"Fan [27, 57] (Single-stage)",0.0,,56.3,,False,False,,matrix
28,"Evangelista [26, 29, 97]",0.0,,59.3,,False,False,,matrix
28,Kou [34] (w/c=0.44),0.0,,64.3,,False,False,,matrix
28,Pereira [35] (+SP2),0.0,,65.4,,False,False,Superplasticizer,matrix
28,"Cartuxo [104, 105] (SP1)",0.0,,66.79,,False,False,Superplasticizer,matrix
28,Bogas [110] (HC+SP+AEA),0.0,,67.9,,False,False,Multi-Admixture,matrix
28,Carro-Lόpez [31],0.0,,80.0,,False,False,,matrix
28,"Cartuxo [104, 105] (SP2)",0.0,,80.64,,False,False,Superplasticizer,matrix
28,Bogas [110] (HC+SP),0.0,,81.0,,False,False,Superplasticizer,matrix
28,Zhang [37],0.0,,122.0,,False,False,Slurry Coating,matrix
29,at 0% replacement,0.0,,51.6,,False,False,,sheet1
29,at 10% replacement,10.0,,41.3,,False,False,,sheet1
29,at 20% replacement,20.0,,31.7,,False,False,,sheet1
29,at 30% replacement,30.0,,22.8,,False,False,,sheet1
29,at 40% replacement,40.0,,13.6,,False,False,,sheet1
29,at 50% replacement,50.0,,10.0,,False,False,,sheet1
30,M-0WCP/M-0WMP/M-0WPP,0.0,,8.62,,False,False,,matrix
30,,0.0,,37.08,,False,False,,sheet1
30,M-30WPP-1200C,30.0,,4.54,,False,False,Thermal Activation,matrix
30,M-30WCP-1200C,30.0,,4.95,,False,False,Thermal Activation,matrix
30,M-30WMP-1200C,30.0,,5.37,,False,False,Thermal Activation,matrix
30,M-30WMP-1000C,30.0,,5.92,,False,False,Thermal Activation,matrix
30,M-30WPP-20C,30.0,,6.44,,False,False,None (Room temperature),matrix
30,M-30WMP-800C,30.0,,6.51,,False,False,Thermal Activation,matrix
30,M-30WMP-20C,30.0,,6.57,,False,False,None (Room temperature),matrix
30,M-30WCP-20C,30.0,,6.68,,False,False,None (Room temperature),matrix
30,M-30WCP-600C,30.0,,6.82,,False,False,Thermal Activation,matrix
30,M-30WMP-600C,30.0,,6.91,,False,False,Thermal Activation,matrix
30,M-30WPP-1000C,30.0,,7.03,,False,False,Thermal Activation,matrix
30,M-30WCP-1000C,30.0,,7.56,,False,False,Thermal Activation,matrix
30,M-30WCP-800C,30.0,,7.73,,False,False,Thermal Activation,matrix
30,,30.0,,20.25,,False,False,,sheet1
30,,30.0,,22.25,,False,False,,sheet1
30,,30.0,,22.63,,False,False,,sheet1
30,,30.0,,23.89,,False,False,,sheet1
30,,30.0,,26.59,,False,False,,sheet1
30,,30.0,,27.1,,False,False,,sheet1
30,,30.0,,27.32,,False,False,,sheet1
30,,30.0,,27.9,,False,False,,sheet1
30,,30.0,,28.76,,False,False,,sheet1
30,,30.0,,28.89,,False,False,,sheet1
30,,30.0,,31.16,,False,False,,sheet1
30,,30.0,,31.55,,False,False,,sheet1
30,,30.0,,31.83,,False,False,,sheet1
30,,30.0,,32.16,,False,False,,sheet1
30,,30.0,,33.4,,False,False,,sheet1
31,,20.0,2.0,20.0,,True,True,,sheet1
31,CEM-cRCP_I,40.0,1.0,10.0,,True,True,Wet carbonation / Aqueous mineralization,matrix
31,CEM-cRCP_III,40.0,1.0,10.5,,True,True,Wet carbonation / Aqueous mineralization,matrix
31,CEM-cRCP_I,40.0,2.0,19.0,,True,True,Wet carbonation / Aqueous mineralization,matrix
31,CEM-cRCP_III,40.0,2.0,20.0,,True,True,Wet carbonation / Aqueous mineralization,matrix
31,,40.0,7.0,40.0,,True,True,,sheet1
31,CEM-cRCP_III,40.0,7.0,42.0,,True,True,Wet carbonation / Aqueous mineralization,matrix
31,CEM-cRCP_I,40.0,28.0,48.0,,True,True,Wet carbonation / Aqueous mineralization,matrix
31,CEM-cRCP_III,40.0,28.0,51.0,,True,True,Wet carbonation / Aqueous mineralization,matrix
